ID,OfferOfAdmissionExtended,GPA,GRE,TOEFL,Major,CollegeRegion,CollegeName,State,Dom_Int,Matriculating,Gender,UniRank
358,NO,3.78,168,105,Statistics,China,China,NA,INT,NO,Female,
359,NO,3.54,157,NA,Math,USA,NewYork,New York,DOM,NO,Female,30
181,YES,3.14,161,NA,Math,USA,Wake Forest,North Carolina,DOM,YES,Male,27
361,NO,2.98,168,NA,Management,China,China,NA,INT,NO,Female,
362,NO,3.37,167,NA,Engineering,USA,Florida,Florida,DOM,NO,Male,35
363,NO,3.54,168,104,Management,China,China,NA,INT,NO,Female,
364,NO,2.75,50,87,Management,China,China,NA,INT,NO,Male,
365,NO,3.31,168,108,CS,China,China,NA,INT,NO,Female,
366,NO,3.84,166,NA,Management,USA,Minnesota,Minnesota,DOM,NO,Female,76
367,NO,3.36,166,97,CS,China,China,NA,INT,NO,Female,
368,NO,3.66,170,112,Other,China,China,NA,INT,NO,Female,
369,NO,3.63,162,95,Management,China,China,NA,INT,NO,Male,
370,NO,2.83,166,NA,Math,USA,California,California,DOM,NO,Male,30
371,NO,3.33,169,103,CS,China,China,NA,INT,NO,Male,
372,NO,3.21,167,110,Statistics,China,China,NA,INT,NO,Female,
373,NO,2.9,165,NA,Statistics,USA,Berkeley,California,DOM,NO,Female,22
374,NO,3.64,160,NA,Other,USA,Penn,Pennsylvania,DOM,NO,Female,8
6,YES,3.57,168,NA,Math,USA,Wesleyan,Connecticut,DOM,NO,Male,18
376,NO,3.49,170,99,Engineering,China,China,NA,INT,NO,Male,
377,NO,3.14,167,NA,Math,USA,California,California,DOM,NO,Male,30
378,NO,2.58,169,NA,CS,USA,Penn,Pennsylvania,DOM,NO,Male,8
379,NO,3.66,168,NA,Economics,China,China,NA,INT,NO,Female,
380,NO,3.19,163,NA,Math,USA,Rutgers,New Jersey,DOM,NO,Male,56
381,NO,3.36,163,NA,Finance,USA,NewYork,New York,DOM,NO,Male,30
